netsuite_internal_id,netsuite_id,name,sales_rep_name,missing_email,missing_address,internal_nsa_email,email_raw,phone,address_raw,city,state,zip,parent_name,reasons
4502,1430,Atascadero High School Athletics,Kelly Bean,,yes,,michaeldietz@atasusd.org,,"Atascadero High School Athletics
Atascadero CA 93422
United States",Atascadero,CA,93422,Atascadero High School - ASB,missing structured address
5167,5321,Atascadero Boys Tennis,Kelly Bean,,yes,,gpyle79@gmail.com,,"Atascadero High School Athletics
Atascadero CA 93422
United States",Atascadero,CA,93422,Atascadero High School,missing structured address
5052,5221,Atascadero High School Girls Soccer,Kelly Bean,,yes,,chrisblang82@gmail.com,,"Chris Lang
Atascadero High School Girls Soccer
Atascadero CA 93422
United States",Atascadero,CA,93422,Atascadero High School - ASB,missing structured address
5028,5200,Atascadero High School Baseball,Kelly Bean,,yes,,gorunfast@gmail.com,,"Atascadero High School Baseball
Atascadero CA 93422
United States",Atascadero,CA,93422,Atascadero High School - ASB,missing structured address
4549,1469,Atascadero PAWS,Kelly Bean,,yes,,kerrysherer@atasusd.org,,"Atascadero PAWS
Atascadero CA 93422
United States",Atascadero,CA,93422,Atascadero High School - ASB,missing structured address
4633,1541,Atascadero School District,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Atascadero School District
5601 W Mall
Atascadero CA 93422
United States",Atascadero,CA,93422,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4025,1036,Atlante Soccer Club,Mike Mercuriali,yes,yes,yes,merc@nationalsportsapparel.com,,"Atlante Soccer Club
United States",,,,,no customer email; had NSA-internal email (merc@nationalsportsapparel.com); missing structured address
3600,275,AYSO Region 602,Jered Hunt,yes,yes,,,,"AYSO Region 602
United States",,,,,no customer email; missing structured address
4823,5037,Bakersfield Centennial Basketball,Kevin McCormack,yes,,yes,kevin@nationalsportsapparel.com,,"Bakersfield Centennial Basketball
8601 Hageman Rd
Bakersfield CA 93312
United States",Bakersfield,CA,93312,Bakersfield Centennial High School,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
5037,5208,Bakersfield College,Kevin McCormack,yes,,,,,"Bakersfield College
1801 Panorama Dr
Bakersfield CA 93305
United States",Bakersfield,CA,93305,,no customer email
5040,5211,Bakersfield College Baseball,Kevin McCormack,yes,,,,,"Baseball
Bakersfield College
1801 Panorama Dr
Bakersfield CA 93305
United States",Bakersfield,CA,93305,Bakersfield College,no customer email
5038,5209,Bakersfield College Football,Kevin McCormack,yes,,,,,"Football
Bakersfield College
1801 Panorama Dr
Bakersfield CA 93305
United States",Bakersfield,CA,93305,Bakersfield College,no customer email
5041,5212,Bakersfield College Soccer,Kevin McCormack,yes,,,,,"Soccer
Bakersfield College
1801 Panorama Dr
Bakersfield CA 93305
United States",Bakersfield,CA,93305,Bakersfield College,no customer email
5039,5210,Bakersfield College Softball,Kevin McCormack,yes,,,,,"Softball
Bakersfield College
1801 Panorama Dr
Bakersfield CA 93305
United States",Bakersfield,CA,93305,Bakersfield College,no customer email
3721,359,Bakersfield High School,Kevin McCormack,yes,,yes,steve@nationalsportsapparel.com,,"Bakersfield High School Athletics
1241 G St
Bakersfield CA 93304
United States",Bakersfield,CA,93304,,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
3722,360,Bakersfield Football,Kevin McCormack,yes,,yes,steve@nationalsportsapparel.com,,"Bakersfield High Football
1241 G St
Bakersfield CA 93304
United States",Bakersfield,CA,93304,Bakersfield High School,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
3739,372,Bakersfield Girls Basketball,Kevin McCormack,yes,,yes,steve@nationalsportsapparel.com,,"Bakersfield High Girls Basketball
1241 G St
Bakersfield CA 93304
United States",Bakersfield,CA,93304,Bakersfield High School,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
3768,1044,Bakersfield Track,Kevin McCormack,yes,,yes,kevin@nationalsportsapparel.com,,"Bakersfield High Track
Attn: Jose Orozco
1241 G St
Bakersfield CA 93304
United States",Bakersfield,CA,93304,Bakersfield High School,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
3657,311,Bay Area Wildcats,Jered Hunt,,yes,,eastbaywildcatshoops@gmail.com,,"Bay Area Wildcats
United States",,,,,missing structured address
4839,5051,Bibiana Bulloock,Mike Mercuriali,,yes,,BibiBulloch@hotmail.com,,,,,,,missing structured address
4489,1420,Big West League,Mike Mercuriali,,yes,,cwong@bigwest.org,,,,,,,missing structured address
4533,1455,Bishop Alemany HS Flag Football,Jered Hunt,yes,,,,,"Randy Thompson
Bishop Alemany HS Flag Football
11111 N Alemany Dr
Mission Hills CA 91345
United States",Mission Hills,CA,91345,Bishop Alemany HS,no customer email
4323,1278,Blake Naylor,Steve Peterson,yes,yes,,,,,,,,,no customer email; missing structured address
3372,126,Boys & Girls Club of Truckee Meadows,Tim Kelly,yes,,yes,tk@nationalsportsapparel.com,,"Boys & Girls Club of Truckee Meadows
1300 Foster Dr
Reno NV 89509
United States",Reno,NV,89509,,no customer email; had NSA-internal email (tk@nationalsportsapparel.com)
4125,1119,Brazas Futebol Club Online,Mike Mercuriali,,yes,,dressa.nascimento@gmail.com,(714) 279-8777,,,,,,missing structured address
4296,1254,Brazitas Futebol Club,,yes,yes,,,,,,,,,no customer email; missing structured address
5186,5339,Brian Schroeder,Mike Mercuriali,yes,yes,,,,,,,,,no customer email; missing structured address
3697,Brotherhood,Brotherhood Golf Tournament,Gayle Peterson,,yes,,darrellsmith1952@gmail.com,,,,,,,missing structured address
5055,5224,Buchanan Football,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Buchanan High School Football
1560 N. Minnewawa Ave
Clovis CA 93619
United States",Clovis,CA,93619,Buchanan High School Athletics,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4044,1049,Bullard Baseball,Shawn McHugh,yes,,,,,"Bullard Baseball
ATTN Tom Donald
5445 N Palm Ave
Fresno CA 93704
United States",Fresno,CA,93704,,no customer email; rep=Shawn McHugh (pending reassignment)
4822,5036,Bulldogs Basketball,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Bulldogs Basketball
6200 Monterey Ct
Atascadero CA 93422
United States",Atascadero,CA,93422,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
3851,500,Cal High Boys Basketball,Aaron Mason,yes,yes,,,,,,,,,no customer email; missing structured address
4897,,Beach BreakaWave LLC,Kelly Bean,,yes,,blondo@calpoly.edu,,"Beach BreakaWave LLC
4855  Morretti Canyon Rd.
San Luis Obispo  
United States",San Luis Obispo,,,,missing structured address
3563,252,Cal State Fullerton Baseball,Chase Koissian,yes,,,,,"Cal State Fullerton Baseball 
TH-100, 800 State College Blvd
Fullerton CA 92831
United States",Fullerton,CA,92831,,no customer email
3589,267,California Dept of Health,Jered Hunt,,yes,,Juan.Castillon@cdph.ca.gov,,,,,,,missing structured address
3850,499,California High School Basketball,Aaron Mason,yes,,yes,aaron@nationalsportsapparel.com,,"California High School Basketball
9800 Mills Ave
Whittier CA 90604
United States",Whittier,CA,90604,,no customer email; had NSA-internal email (aaron@nationalsportsapparel.com)
3717,356,California Online Public Schools,Jered Hunt,yes,,,,,"Ashley Larson
California Online Public Schools
33272 Valle Rd
San Juan Capistrano CA 92675
United States",San Juan Capistrano,CA,92675,,no customer email
4751,1646,Cameron Roget,Mike Mercuriali,yes,,,,,"Cameron Roget
1051 Camino Calabazo
Chula Vista CA 91910
United States",Chula Vista,CA,91910,,no customer email
3280,490,Cantwell-Sacred Heart of Mary High School,Steve Peterson,yes,yes,,,,,,,,Cantwell-sacred Heart High School,no customer email; missing structured address
4189,1174,Canyon Hills High School,Mike Mercuriali,yes,,,,,"Canyon Hills High School
5156 Santo Rd
San Diego CA 92124
United States",San Diego,CA,92124,,no customer email
3523,221,Capital Christian HS Baseball,John Miller,yes,,yes,jmiller@nationalsportsapparel.com,,"Capital Christian Athletics
Attn: Baseball
9470 Micron Ave
Sacramento CA 95827
United States",Sacramento,CA,95827,Capital Christian HS,no customer email; had NSA-internal email (jmiller@nationalsportsapparel.com)
3462,179,Capital Christian HS Boys Basketball,John Miller,yes,,yes,jmiller@nationalsportsapparel.com,,"Basketball
Capital Christian HS Boys Basketball
9470 Micron Ave
Sacramento CA 95827
United States",Sacramento,CA,95827,Capital Christian HS,no customer email; had NSA-internal email (jmiller@nationalsportsapparel.com)
3388,135,Capital Christian HS Football,John Miller,yes,,yes,jmiller@nationalsportsapparel.com,,"Aaron Garcia
Capital Christian HS Football 
9470 Micron Ave
Sacramento CA 95827
United States",Sacramento,CA,95827,Capital Christian HS,no customer email; had NSA-internal email (jmiller@nationalsportsapparel.com)
3465,181,Capital Christian HS Girls Basketball,John Miller,yes,,yes,jmiller@nationalsportsapparel.com,,"Capital Christian HS Girls Basketball
3401 Mayhew Road
Sacramento CA 95827
United States",Sacramento,CA,95827,Capital Christian HS,no customer email; had NSA-internal email (jmiller@nationalsportsapparel.com)
3460,177,Capital Christian Junior Cougars Football,John Miller,yes,,yes,jmiller@nationalsportsapparel.com,,"Aaron Garcia
Capital Christian HS Football
9470 Micron Ave
Sacramento CA 95827
United States",Sacramento,CA,95827,Capital Christian HS,no customer email; had NSA-internal email (jmiller@nationalsportsapparel.com)
5210,5360,Carlos-Alebrijes,,,yes,,clopezaldape@gmail.com,,,,,,,missing structured address
5198,5350,Carmenita Middle School,Mike Mercuriali,yes,,,,,"Carmenita Middle School
ABC Warehouse
12320 166th St
Cerritos CA 90703
United States",Cerritos,CA,90703,,no customer email
3605,278,Carson Baseball,Tim Kelly,yes,,yes,steve@nationalsportsapparel.com,,"Carson Athletics
Attn: Baseball
1111 N. Saliman Road
Carson City NV 89701
United States",Carson City,NV,89701,Carson High School,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
4694,1595,Century High Cross Country,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Century High Cross Country
1000 E Century Ave
Bismarck ND 58503
United States",Bismarck,ND,58503,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
3709,351,Century HS Boys Soccer,Jered Hunt,yes,,,,,"Century HS Boys Soccer
1401 S Grand Ave
Santa Ana CA 92705
United States",Santa Ana,CA,92705,,no customer email
3854,503,Cerritos High School Cross Country,Chase Koissian,yes,,,,,"Cerritos High School Cross Country
12500 183rd St.
Cerritos CA 90703
United States",Cerritos,CA,90703,Cerritos High School,no customer email
3766,391,Cerro Coso College,Jeff Bianchini,,yes,,justus.scott@cerrocoso.edu,,"Justus Scott Baseball
Cerro Coso College
3000 College Heights Blvd
Ridgecrest CA 93555
United States",Ridgecrest,CA,93555,,missing structured address
3512,214,Chapman University Basketball,Jered Hunt,yes,,,,,"Chapman University Basketball 
1 University Dr 
Orange CA 92866
United States",Orange,CA,92866,Chapman University Athletics,no customer email
3622,286,Chase Koissian,Chase Koissian,yes,yes,,,,,,,,,no customer email; missing structured address
3350,112,Chico State University Basketball,John Miller,yes,,,,,"The University Foundation, California State University, Chico
25 Main Street
Suite 103
Chico CA 95929
United States",Chico,CA,95929,Chico State College,no customer email
3794,408,Chico State University Women's Basketball,Jeff Bianchini,yes,,,,,"The University Foundation, California State University, Chico
25 Main Street
Suite 103
Chico CA 95929
United States",Chico,CA,95929,Chico State College,no customer email
4565,1484,Chili Dogs Baseball,Kelly Bean,,yes,,nealsonnenberg@gmail.com,,"Chili Dogs Baseball
United States",,,,,missing structured address
3937,Christian High School Soccer,Christian HS Soccer,Gayle Peterson,yes,,,,,"Christian HS Soccer
2100 Greenfield Dr.
El Cajon CA 92019
United States",El Cajon,CA,92019,,no customer email
4965,5146,CIF,Steve Peterson,yes,,yes,kevin@nationalsportsapparel.com,,"Matt Sozinho
CIF
764 P street #105 
Kingsburg CA 93631
United States",Kingsburg,CA,93631,,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
4795,1685,City of Oxnard Recreation,Mike Mercuriali,yes,yes,,,,,,,,,no customer email; missing structured address
4654,1558,City of San Bernardino,Mike Mercuriali,,yes,,Marghezi_Da@sbcity.org,(909) 384-5019 x5174,,,,,,missing structured address
5175,5329,City SC San Marcos,Mike Mercuriali,yes,yes,,,,,,,,,no customer email; missing structured address
4537,1459,City to the Sea Marathon,Kelly Bean,,yes,,gorunfast@gmail.com,,"City to the Sea Marathon
United States",,,,,missing structured address
5073,5237,Civica Academy Baseball,Jered Hunt,yes,,,,,"Nick Benedetto
Civica Academy Baseball
1501 E Carey Ave
North Las Vegas NV 89030
United States",North Las Vegas,NV,89030,Civica Academy,no customer email
5081,5244,Civica Academy Wrestling,Jered Hunt,yes,,,,,"Civica Academy Wrestling
1501 E Carey Ave
North Las Vegas NV 89030
United States",North Las Vegas,NV,89030,Civica Academy,no customer email
5030,5202,Civica HS Football,Jered Hunt,yes,,,,,"Civica HS Football
1501 E Carey Ave
North Las Vegas NV 89030
United States",North Las Vegas,NV,89030,Civica Academy,no customer email
5142,5296,Civica HS Golf,Jered Hunt,yes,,,,,"Civica HS Golf
1501 E Carey Ave
North Las Vegas NV 89030
United States",North Las Vegas,NV,89030,Civica Academy,no customer email
4601,1511,Clackamas High School,Kelly Bean,yes,,,,,"Clackamas High School
14486 SE 122nd Ave
Clackamas OR 97015
United States",Clackamas,OR,97015,,no customer email
4011,1026,Claremont HS Softball,Jered Hunt,yes,,,,,"Kailey Kelley
Claremont HS Softball
1601 N Indian Hill Blvd
Claremont CA 91711
United States",Claremont,CA,91711,Claremont High School,no customer email
4490,1421,Clark Intermediate School,Steve Peterson,yes,,yes,steve@nationalsportsapparel.com,,"Clark Intermediate School
902 Fifth St. 
Clovis CA 93612
United States",Clovis,CA,93612,,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
3822,489,Clarksville Volleyball,John Morris,yes,,yes,john@nationalsportsapparel.com,,"PO 460825
General Administration
1600 W Main St
Clarksville TX 75426
United States",Clarksville,TX,75426,Clarksville High School,no customer email; had NSA-internal email (john@nationalsportsapparel.com)
3419,151,Clayton Middle School,Tim Kelly,yes,,yes,tk@nationalsportsapparel.com,,"Clayton Middle School
Attn: Athletics
425 East 9th Street
Reno NV 89512
United States",Reno,NV,89512,,no customer email; had NSA-internal email (tk@nationalsportsapparel.com)
4245,1218,Clovis High School Football,Steve Peterson,yes,,yes,steve@nationalsportsapparel.com,,"Clovis High School Football
1055 Fowler Ave
Clovis CA 93611
United States",Clovis,CA,93611,Clovis High School,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
5066,5232,Clovis High School Badminton,Steve Peterson,yes,,,,,"Clovis High School
1055 Fowler Ave
Clovis CA 93611
United States",Clovis,CA,93611,Clovis High School,no customer email
4840,5052,Clovis North Football,Kelly Bean,yes,yes,,,,"Clovis North
Clovis CA 93730
United States",Clovis,CA,93730,Clovis North High School,no customer email; missing structured address
4038,1043,Club Soccer,Juliet Leon,yes,,yes,juliet@nationalsportsapparel.com,,"Adam Corrubius
1576 W Hampton Cir
Hanford CA 93230
United States",Hanford,CA,93230,,no customer email; had NSA-internal email (juliet@nationalsportsapparel.com)
3474,187,Coach Wakefield,Jered Hunt,,yes,,rwakefield41@outlook.com,,"Coach Wakefield
United States",,,,,missing structured address
4582,1499,Coastal Camp,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Coastal Camp
1910 SW 18th #47
Portland OR 97201
United States",Portland,OR,97201,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
3826,430,Colfax High Basketball,Jeff Bianchini,yes,,yes,steve@nationalsportsapparel.com,,"Colfax High School 

24995 Ben Taylor Road

Colfax, CA 95713



United States",Chicago Park,CA,95713,,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
4863,5069,Colleen Miltenberg,Kelly Bean,yes,,,,,"Colleen Miltenberg
106 Yale Ln
Chapel Hill NC 27517
United States",Chapel Hill,NC,27517,,no customer email
2480,509,College of San Mateo,,,yes,,wolf@smccd.edu,,"College of San Mateo
College of San Mateo
United States",,,,,missing structured address
3439,163,College of San Mateo Water Polo,Steve Peterson,,yes,,silvaa@smccd.edu,,,,,,College of San Mateo,missing structured address
4311,1268,College of San Mateo Bookstore,Steve Peterson,,yes,,silvaa@smccd.edu,,,,,,College of San Mateo,missing structured address
4223,1202,College of San Mateo Track & Field,Steve Peterson,yes,,,,(650) 574-6462,"College of San Mateo Track & Field
1700 W. Hillsdale Blvd.
San Mateo CA 94402
United States",San Mateo,CA,94402,College of San Mateo,no customer email
4204,1187,College Park HS Football,Jered Hunt,yes,,,,,"Jack Schram
College Park HS Football
201 Viking Dr
Pleasant Hill CA 94523
United States",Pleasant Hill,CA,94523,,no customer email
3294,88,Concordia University Advancement,Gayle Peterson,yes,,,,,"Concordia University Advancement
1530 Concordia West
Irvine CA 92612
United States",Irvine,CA,92612,Concordia University Athletics,no customer email
4308,1265,Condors Baseball,Jered Hunt,yes,yes,,,,"Condors Baseball
Condors Baseball
United States",,,,,no customer email; missing structured address
4456,1395,Corcoran High School,Kevin McCormack,yes,,yes,kevin@nationalsportsapparel.com,,"Corcoran High School
1100 Letts Ave
Corcoran CA 93212
United States",Corcoran,CA,93212,,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
4457,1396,Corcoran Football,Kevin McCormack,yes,,yes,kevin@nationalsportsapparel.com,,"Corcoran High School Football
1100 Letts Ave
Corcoran CA 93212
United States",Corcoran,CA,93212,Corcoran High School,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
4763,1657,Cornerstone Christian Academy,Mike Mercuriali,,yes,,cidlett@ccak12.net,,,,,,,missing structured address
4231,1206,Corona Del Mar HS Lacrosse,Steve Peterson,yes,,yes,steve@nationalsportsapparel.com,,"Corona Del Mar HS Track
2101 Eastbluff Dr
Newport Beach CA 92660
United States",Newport Beach,CA,92660,Corona Del Mar High School,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
5105,5263,Corona Norco Unified School District,Jered Hunt,yes,,,,,"Corona Norco Unified School District
2820 Clark Ave
Norco CA 92860
United States",Norco,CA,92860,,no customer email
3724,362,Corona Sharks FC,Jered Hunt,yes,yes,,,,"Corona Sharks FC
United States",,,,,no customer email; missing structured address
3751,380,Corrie Barbara,Chase Koissian,,yes,,corrie.barbara@gmail.com,,"Corrie Barbara
Corrie Barbara
CA 
United States",,CA,,,missing structured address
4193,1178,Costa Mesa HS Football,Jered Hunt,yes,,,,,"Costa Mesa HS Football
2650 Fairview Road
Costa Mesa CA 92626
United States",Costa Mesa,CA,92626,Costa Mesa High School,no customer email
4438,1379,Cosumnes Community Services District,Steve Peterson,yes,,yes,steve@nationalsportsapparel.com,,"Cosumnes Community Services District
9014 Bruceville Road
Elk Grove CA 95758
United States",Elk Grove,CA,95758,,no customer email; had NSA-internal email (steve@nationalsportsapparel.com)
4227,1204,Court Vision Academy,Mike Mercuriali,yes,,,,,"Court Vision Academy
2559 View Trail Court
Chula Vista CA 91914
United States",Chula Vista,CA,91914,,no customer email
4793,1684,Coyotes Basketball,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Jenny Nguyen
Coyotes Basketball
1788 Canyon Oaks Ln
Lake Forest CA l92610
United States",Lake Forest,CA,l92610,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4304,1261,Craig Dean,Mike Mercuriali,,yes,,craigdean1999@gmail.com,,,,,,,missing structured address
4757,1652,Crespi HS Baseball,Jered Hunt,,yes,,mwilson@crespi.org,,"Matt Wilson
Crespi HS Baseball
Encino CA 91316
United States",Encino,CA,91316,,missing structured address
4671,1574,Cuesta Soccer,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Cuesta Cross Soccer
HWY 1
San Luis Obispo CA 93405
United States",San Luis Obispo,CA,93405,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4983,5161,Cuyamaca College Womens Basketball,Mike Mercuriali,,yes,,p.davis@gcccd.edu,,,,,,Cuyamaca College,missing structured address
4009,1024,Dana Hills High School Softball,Jered Hunt,yes,,,,,"Brandon Cosenza
Dana Hills High School Softball
33333 Golden Lantern
Dana Point CA 92629
United States",Dana Point,CA,92629,Dana Hills High School,no customer email
4394,1340,Dana Hills High School,Jered Hunt,yes,,,,,"Brnadon Cosenze
Dana Hills HS Flag FB 
33333 Golden Lantern
Dana Point CA 92629
United States",Dana Point,CA,92629,,no customer email
3684,329,Dave Kuelpman,Andrea,yes,yes,,,,,,,,,no customer email; missing structured address
5305,5441,David Guerrero,Mike Mercuriali,,yes,,d-guerrero09@hotmail.com,,,,,,,missing structured address
4181,1169,De Anza HS Football,Jered Hunt,yes,,,,,"5000 Valley View Rd
Richmond  CA 94803
United States",Richmond,CA,94803,,no customer email
4176,1164,Del Norte HS Softball,Jered Hunt,yes,,,,,"Del Norte HS Softball 
16601 Nighthawk Ln
San Diego CA 92127
United States",San Diego,CA,92127,,no customer email
4301,1258,Del Oro High School Football,Jered Hunt,yes,,,,,"Del Oro High School Football
3301 Taylor Rd
Loomis  CA 95650
United States",Loomis,CA,95650,,no customer email
3968,586,Del Sol HS Football,Jered Hunt,yes,,,,,"Del Sol HS Football
1975 Camino Del Sol
Oxnard CA 93030
United States",Oxnard,CA,93030,,no customer email
3818,424,Desert Pines HS,Jered Hunt,yes,yes,,,,,,,,Desert Pines High School,no customer email; missing structured address
3797,410,Desert Pines HS Football,Jered Hunt,yes,,,,,"Desert Pines HS Football
3800 E Harris Ave
Las Vegas  NV 89110
United States",Las Vegas,NV,89110,Desert Pines High School,no customer email
3705,347,Desert Pines HS Girls Volleyball,Jered Hunt,yes,,,,,"Desert Pines HS Girls Volleyball
3800 E Harris Ave
Las Vegas NV 89110
United States",Las Vegas,NV,89110,Desert Pines High School,no customer email
3634,294,Diamond Divas,Steve Peterson,yes,yes,yes,steve@nationalsportsapparel.com,,,,,,,no customer email; had NSA-internal email (steve@nationalsportsapparel.com); missing structured address
4168,1156,Diamond Ranch HS Football,Jered Hunt,yes,,,,,"Diamond Ranch HS Football
100 Diamond Rd
Pomona CA 91766
United States",Pomona,CA,91766,Diamond Ranch High School,no customer email
3680,326,DMV,Andrea,yes,yes,,,,,,,,,no customer email; missing structured address
3884,524,Dos Palos High School,Kevin McCormack,yes,,yes,kevin@nationalsportsapparel.com,,"Dos Palos High School
1701 E Blossom St
Dos Palos CA 93620
United States",Dos Palos,CA,93620,,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
3885,525,Dos Palos Soccer,Kevin McCormack,yes,,yes,kevin@nationalsportsapparel.com,,"Dos Palos HS Soccer
1701 E Blossom St
Dos Palos CA 93620
United States",Dos Palos,CA,93620,Dos Palos High School,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
3852,501,Duarte HS Softball,Jered Hunt,yes,,,,,"Jeramey Michels
Duarte HS Softball 
1565 Central Ave
Duarte  CA 91010
United States",Duarte,CA,91010,,no customer email
5228,5375,East Tennessee United Basketbal,Kelly Bean,,yes,,etunitedbasketball@gmail.com,,,,,,,missing structured address
4000,1017,Edison HS Cooking for a Cause Club,Jered Hunt,yes,,,,,"Edison HS Cooking for a Cause Club
21400 Magnolia St
Huntington Beach CA 92646
United States",Huntington Beach,CA,92646,,no customer email
3821,426,El Dorado HS Athletics,Jered Hunt,yes,,,,,"El Dorado HS: Athletics
1139 N Linn Ln
Las Vegas NV 89110
United States",Las Vegas,NV,89110,,no customer email
4629,1538,Elevate Volleyball Club,Chase Koissian,,yes,,elevatevbchawaii@gmail.com,(808) 230-4279,"Gary Atud
Elevate Volleyball Club
Honolulu HI 
United States",Honolulu,HI,,,missing structured address
